	Chemical name	Internal compound ID	Compound Class	PubChem CID	PUBCHEM_isosmiles
0	Azaguanine-8	PW1-A2	pharmaceutical drugs	135403646	C12=NNN=C1N=C(NC2=O)N
1	Allantoin	PW1-A3	pharmaceutical drugs	204	C1(C(=O)NC(=O)N1)NC(=O)N
2	Acetazolamide	PW1-A4	pharmaceutical drugs	1986	CC(=O)NC1=NN=C(S1)S(=O)(=O)N
3	Metformin hydrochloride	PW1-A5	pharmaceutical drugs	4091	CN(C)C(=N)N=C(N)N
4	Atracurium besylate	PW1-A6	pharmaceutical drugs	47319	C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C
5	Isoflupredone acetate	PW1-A7	pharmaceutical drugs	224246	CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)O
6	Amiloride hydrochloride dihydrate	PW1-A8	pharmaceutical drugs	16231	C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N
7	Amprolium hydrochloride	PW1-A9	pharmaceutical drugs	2178	CCCC1=NC=C(C(=N1)N)C[N+]2=CC=CC=C2C
8	Hydrochlorothiazide	PW1-A10	pharmaceutical drugs	3639	C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
9	Sulfaguanidine	PW1-A11	pharmaceutical drugs	5324	C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N
10	Meticrane	PW1-B2	pharmaceutical drugs	4165	CC1=CC2=C(C=C1S(=O)(=O)N)S(=O)(=O)CCC2
11	Benzonatate	PW1-B3	pharmaceutical drugs	59765703	CCCCNC1=CC=C(C=C1)C(=O)OCCOC
12	Hydroflumethiazide	PW1-B4	pharmaceutical drugs	3647	C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1
13	Sulfacetamide sodic hydrate	PW1-B5	pharmaceutical drugs	4022878	CC(=O)[N-]S(=O)(=O)C1=CC=C(C=C1)N.[Na+]
14	Heptaminol hydrochloride	PW1-B6	pharmaceutical drugs	3590	CC(CCCC(C)(C)O)N
16	Levodopa	PW1-B8	pharmaceutical drugs	6047	C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O
17	Idoxuridine	PW1-B9	pharmaceutical drugs	5905	C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)I)CO)O
18	Captopril	PW1-B10	pharmaceutical drugs	44093	C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O
19	Minoxidil	PW1-B11	pharmaceutical drugs	4201	C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O
20	Sulfaphenazole	PW1-C2	pharmaceutical drugs	5335	C1=CC=C(C=C1)N2C(=CC=N2)NS(=O)(=O)C3=CC=C(C=C3)N
21	(D)-Panthenol	PW1-C3	pharmaceutical drugs	131204	CC(C)(CO)[C@H](C(=O)NCCCO)O
22	Sulfadiazine	PW1-C4	pharmaceutical drugs	5215	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N
23	Norethynodrel	PW1-C5	pharmaceutical drugs	6231	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3CCC(=O)C4
24	Thiamphenicol	PW1-C6	pharmaceutical drugs	27200	CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O
25	Cimetidine	PW1-C7	pharmaceutical drugs	2756	CC1=C(N=CN1)CSCCNC(=NC)NC#N
26	Doxylamine succinate	PW1-C8	pharmaceutical drugs	3162	CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C
27	Ethambutol dihydrochloride	PW1-C9	pharmaceutical drugs	470071	CC[C@H](CO)NCCN[C@H](CC)CO
28	Antipyrine	PW1-C10	pharmaceutical drugs	2206	CC1=CC(=O)N(N1C)C2=CC=CC=C2
29	Antipyrine, 4-hydroxy	PW1-C11	pharmaceutical drugs	98889	CC1=C(C(=O)N(N1C)C2=CC=CC=C2)O
30	Chloramphenicol	PW1-D2	pharmaceutical drugs	5959	C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]
31	Epirizole	PW1-D3	pharmaceutical drugs	3242	CC1=CC(=NC(=N1)N2C(=CC(=N2)C)OC)OC
32	Diprophylline	PW1-D4	pharmaceutical drugs	3182	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O
33	Triamterene	PW1-D5	pharmaceutical drugs	5546	C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N
34	Dapsone	PW1-D6	pharmaceutical drugs	2955	C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
35	Troleandomycin	PW1-D7	pharmaceutical drugs	202225	C[C@@H]1C[C@@H]([C@H]([C@@H](O1)O[C@H]2[C@H](C[C@@]3(CO3)C(=O)[C@@H]([C@H]([C@H]([C@H](OC(=O)[C@@H]([C@H]([C@@H]2C)O[C@H]4C[C@@H]([C@H]([C@@H](O4)C)OC(=O)C)OC)C)C)C)OC(=O)C)C)C)OC(=O)C)N(C)C
36	Pyrimethamine	PW1-D8	pharmaceutical drugs	4993	CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl
37	Hexamethonium dibromide dihydrate	PW1-D9	pharmaceutical drugs	3604	C[N+](C)(C)CCCCCC[N+](C)(C)C
38	Diflunisal	PW1-D10	pharmaceutical drugs	3059	C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O
39	Niclosamide	PW1-D11	pharmaceutical drugs	4477	C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O
40	Procaine hydrochloride	PW1-E2	pharmaceutical drugs	4914	CCN(CC)CCOC(=O)C1=CC=C(C=C1)N
41	Moxisylyte hydrochoride	PW1-E3	pharmaceutical drugs	4260	CC1=CC(=C(C=C1OC(=O)C)C(C)C)OCCN(C)C
42	Betazole hydrochloride	PW1-E4	pharmaceutical drugs	7741	C1=C(NN=C1)CCN
43	Isoxicam	PW1-E5	pharmaceutical drugs	54677972	CC1=CC(=NO1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O
44	(S)-Naproxen	PW1-E6	pharmaceutical drugs	156391	C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
45	Naphazoline hydrochloride	PW1-E7	pharmaceutical drugs	4436	C1CN=C(N1)CC2=CC=CC3=CC=CC=C32
46	Ticlopidine hydrochloride	PW1-E8	pharmaceutical drugs	5472	C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl
47	Dicyclomine hydrochloride	PW1-E9	pharmaceutical drugs	3042	CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2
48	Amyleine hydrochloride	PW1-E10	pharmaceutical drugs	10767	CCC(C)(CN(C)C)OC(=O)C1=CC=CC=C1
49	Lidocaine hydrochloride	PW1-E11	pharmaceutical drugs	3676	CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
50	Mupirocin	PW1-F2	pharmaceutical drugs	4264	CC(C1C(O1)CC2COC(C(C2O)O)CC(=CC(=O)OCCCCCCCCC(=O)O)C)C(C)O
51	Carbamazepine	PW1-F3	pharmaceutical drugs	2554	C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
52	Triflupromazine hydrochloride	PW1-F4	pharmaceutical drugs	5568	CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F
53	Mefenamic acid	PW1-F5	pharmaceutical drugs	4044	CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C
54	Acetohexamide	PW1-F6	pharmaceutical drugs	1989	CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
55	Sulpiride	PW1-F7	pharmaceutical drugs	5355	CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC
56	Benoxinate hydrochloride	PW1-F8	pharmaceutical drugs	4633	CCCCOC1=C(C=CC(=C1)C(=O)OCCN(CC)CC)N
57	Oxethazaine	PW1-F9	pharmaceutical drugs	4621	CC(C)(CC1=CC=CC=C1)N(C)C(=O)CN(CCO)CC(=O)N(C)C(C)(C)CC2=CC=CC=C2
58	Pheniramine maleate	PW1-F10	pharmaceutical drugs	4761	CN(C)CCC(C1=CC=CC=C1)C2=CC=CC=N2
59	Tolazoline hydrochloride	PW1-F11	pharmaceutical drugs	5504	C1CN=C(N1)CC2=CC=CC=C2
60	Morantel tartrate	PW1-G2	pharmaceutical drugs	5353792	CC1=C(SC=C1)/C=C/C2=NCCCN2C
61	(R,S) Homatropine hydrobromide	PW1-G3	pharmaceutical drugs	5282593	CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(C3=CC=CC=C3)O
62	Nifedipine	PW1-G4	pharmaceutical drugs	4485	CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
63	Chlorpromazine hydrochloride	PW1-G5	pharmaceutical drugs	2726	CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
65	Minaprine dihydrochloride	PW1-G7	pharmaceutical drugs	4199	CC1=CC(=NN=C1NCCN2CCOCC2)C3=CC=CC=C3
66	Miconazole	PW1-G8	pharmaceutical drugs	4189	C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
67	Isoxsuprine hydrochloride	PW1-G9	pharmaceutical drugs	3783	CC(COC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O
68	Acebutolol hydrochloride	PW1-G10	pharmaceutical drugs	1978	CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
69	Tolnaftate	PW1-G11	pharmaceutical drugs	5510	CC1=CC(=CC=C1)N(C)C(=S)OC2=CC3=CC=CC=C3C=C2
70	Todralazine hydrochloride	PW1-H2	pharmaceutical drugs	5501	CCOC(=O)NNC1=NN=CC2=CC=CC=C21
71	Imipramine hydrochloride	PW1-H3	pharmaceutical drugs	3696	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31
72	Sulindac	PW1-H4	pharmaceutical drugs	1548887	CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O
73	Amitryptiline hydrochloride	PW1-H5	pharmaceutical drugs	2160	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
74	Adiphenine hydrochloride	PW1-H6	pharmaceutical drugs	2031	CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2
75	Dibucaine	PW1-H7	pharmaceutical drugs	3025	CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC
76	Prednisone	PW1-H8	pharmaceutical drugs	5865	C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C
77	Thioridazine hydrochloride	PW1-H9	pharmaceutical drugs	5452	CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC
78	Diphemanil methylsulfate	PW1-H10	pharmaceutical drugs	6127	C[N+]1(CCC(=C(C2=CC=CC=C2)C3=CC=CC=C3)CC1)C
79	Trimethobenzamide hydrochloride	PW1-H11	pharmaceutical drugs	5577	CN(C)CCOC1=CC=C(C=C1)CNC(=O)C2=CC(=C(C(=C2)OC)OC)OC
80	Metronidazole	PW2-A2	pharmaceutical drugs	4173	CC1=NC=C(N1CCO)[N+](=O)[O-]
81	Fulvestrant	PW2-A3	pharmaceutical drugs	104741	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F
82	Edrophonium chloride	PW2-A4	pharmaceutical drugs	3202	CC[N+](C)(C)C1=CC(=CC=C1)O
83	Moroxidine hydrochloride	PW2-A5	pharmaceutical drugs	71655	C1COCCN1C(=N)N=C(N)N
84	Baclofen	PW2-A6	pharmaceutical drugs	2284	C1=CC(=CC=C1C(CC(=O)O)CN)Cl
85	Acyclovir	PW2-A7	pharmaceutical drugs	135398513	C1=NC2=C(N1COCCO)N=C(NC2=O)N
86	Diazoxide	PW2-A8	pharmaceutical drugs	3019	CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
87	Amidopyrine	PW2-A9	pharmaceutical drugs	6009	CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C
88	Busulfan	PW2-A10	pharmaceutical drugs	2478	CS(=O)(=O)OCCCCOS(=O)(=O)C
89	Pindolol	PW2-A11	pharmaceutical drugs	4828	CC(C)NCC(COC1=CC=CC2=C1C=CN2)O
90	Khellin	PW2-B2	pharmaceutical drugs	3828	CC1=CC(=O)C2=C(C3=C(C(=C2O1)OC)OC=C3)OC
91	Zimelidine dihydrochloride monohydrate	PW2-B3	pharmaceutical drugs	5458656	CN(C)C/C=C(\C1=CC=C(C=C1)Br)/C2=CN=CC=C2
92	Azacyclonol	PW2-B4	pharmaceutical drugs	15723	C1CNCCC1C(C2=CC=CC=C2)(C3=CC=CC=C3)O
93	Azathioprine	PW2-B5	pharmaceutical drugs	2265	CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
94	Lynestrenol	PW2-B6	pharmaceutical drugs	5857	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34
95	Guanabenz acetate	PW2-B7	pharmaceutical drugs	5353646	C1=CC(=C(C(=C1)Cl)/C=N\N=C(N)N)Cl
96	Disulfiram	PW2-B8	pharmaceutical drugs	3117	CCN(CC)C(=S)SSC(=S)N(CC)CC
97	Acetylsalicylsalicylic acid	PW2-B9	pharmaceutical drugs	10745	CC(=O)OC1=CC=CC=C1C(=O)OC2=CC=CC=C2C(=O)O
98	Mianserine hydrochloride	PW2-B10	pharmaceutical drugs	4184	CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42
99	Nocodazole	PW2-B11	pharmaceutical drugs	4122	COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3
100	R(-) Apomorphine hydrochloride hemihydrate	PW2-C2	pharmaceutical drugs	69503325	CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O
101	Amoxapine	PW2-C3	pharmaceutical drugs	2170	C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
102	Cyproheptadine hydrochloride	PW2-C4	pharmaceutical drugs	2913	CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1
103	Famotidine	PW2-C5	pharmaceutical drugs	3325	C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N
104	Danazol	PW2-C6	pharmaceutical drugs	28417	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC5=C(C[C@]34C)C=NO5
105	Nicorandil	PW2-C7	pharmaceutical drugs	47528	C1=CC(=CN=C1)C(=O)NCCO[N+](=O)[O-]
106	Pioglitazone	PW2-C8	pharmaceutical drugs	4829	CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3
107	Nomifensine maleate	PW2-C9	pharmaceutical drugs	4528	CN1CC(C2=C(C1)C(=CC=C2)N)C3=CC=CC=C3
108	Aliskiren hemifumarate	PW2-C10	pharmaceutical drugs	5493444	CC(C)[C@@H](CC1=CC(=C(C=C1)OC)OCCCOC)C[C@@H]([C@H](C[C@@H](C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N
