min_jacc	comparison
0.525	All
0.68	All
0.68	All
0.58	All
0.7101449275362319	All
0.6666666666666666	All
0.759493670886076	All
0.6	All
0.49056603773584906	All
0.6166666666666667	All
0.7938931297709924	All
0.7105263157894737	All
0.7619047619047619	All
0.7125	All
0.6935483870967742	All
0.6440677966101694	All
0.75	All
0.8	All
0.5833333333333334	All
0.7073170731707317	All
0.7884615384615384	All
0.8333333333333334	All
0.8205128205128205	All
0.779874213836478	All
0.7623762376237624	All
0.7307692307692307	All
0.7623762376237624	All
0.6363636363636364	All
0.7482014388489209	All
0.7230769230769231	All
0.7375	All
0.7088607594936709	All
0.7945205479452054	All
0.74	All
0.6949152542372882	All
0.7633587786259542	All
0.7696629213483146	All
0.6515151515151515	All
0.7899159663865546	All
0.7444444444444445	All
0.7209302325581395	All
0.7523809523809524	All
0.7411764705882353	All
0.7714285714285715	All
0.8175675675675675	All
0.8482758620689655	All
0.7924528301886793	All
0.6756756756756757	All
0.7450980392156863	All
0.7090909090909091	All
0.7441860465116279	All
0.7468354430379747	All
0.7301587301587301	All
0.6226415094339622	All
0.6777777777777778	All
0.7419354838709677	All
0.6851851851851852	All
0.7727272727272727	All
0.75	All
0.8363636363636363	All
0.6027397260273972	All
0.6792452830188679	All
0.7	All
0.6724137931034483	All
0.711864406779661	All
0.7058823529411765	All
0.7294117647058823	All
0.7032967032967034	All
0.7294117647058823	All
0.6704545454545454	All
0.6949152542372882	All
0.6625	All
0.5652173913043478	All
0.7407407407407407	All
0.6756756756756757	All
0.6545454545454545	All
0.7288135593220338	All
0.7647058823529411	All
0.8275862068965517	All
0.75	All
0.8	All
0.8518518518518519	All
0.7837837837837838	All
0.8043478260869565	All
0.8214285714285714	All
0.7931034482758621	All
0.7692307692307693	All
0.8064516129032258	All
0.7083333333333334	All
0.6923076923076923	All
0.8125	All
0.7	All
0.7241379310344828	All
0.7391304347826086	All
0.7575757575757576	All
0.825	All
0.8518518518518519	All
0.6956521739130435	All
0.6923076923076923	All
0.7368421052631579	All
0.7027027027027027	All
0.5	All
0.6333333333333333	All
0.6037735849056604	All
0.625	All
0.6444444444444445	All
0.55	All
0.6428571428571429	All
0.6052631578947368	All
0.7837837837837838	All
0.8076923076923077	All
0.8604651162790697	All
0.813953488372093	All
0.5	All
0.2765957446808511	All
0.7142857142857143	All
0.6818181818181818	All
0.6363636363636364	All
0.8181818181818182	All
0.8275862068965517	All
0.8333333333333334	All
0.8666666666666667	All
0.7586206896551724	All
0.7666666666666667	All
0.0	All
0.7777777777777778	All
0.8125	All
0.6545454545454545	All
0.19230769230769232	All
0.5818181818181818	All
0.5581395348837209	All
0.6363636363636364	All
0.5483870967741935	All
0.5	All
0.723404255319149	All
0.5957446808510638	All
0.7727272727272727	All
0.6	All
0.6060606060606061	All
0.7924528301886793	All
0.7105263157894737	All
0.7083333333333334	All
0.7142857142857143	All
0.6379310344827587	All
0.6739130434782609	All
0.4117647058823529	All
0.45454545454545453	All
0.6176470588235294	All
0.6363636363636364	All
0.6451612903225806	All
0.7413793103448276	All
0.7142857142857143	All
0.7045454545454546	All
0.6097560975609756	All
0.5517241379310345	All
0.6964285714285714	All
0.6896551724137931	All
0.4523809523809524	All
0.44	All
0.52	All
0.5	All
0.7027027027027027	All
0.6666666666666666	All
0.5833333333333334	All
0.4642857142857143	All
0.75	All
0.6923076923076923	All
0.5806451612903226	All
0.6052631578947368	All
0.74	All
0.6756756756756757	All
0.6363636363636364	All
0.6666666666666666	All
0.7142857142857143	All
0.7543859649122807	All
0.7413793103448276	All
0.6590909090909091	All
0.627906976744186	All
0.6333333333333333	All
0.5641025641025641	All
0.7735849056603774	All
0.7916666666666666	All
0.7346938775510204	All
0.525	All
0.6666666666666666	All
0.7727272727272727	All
0.7678571428571429	All
0.75	All
0.6530612244897959	All
0.7450980392156863	All
0.2777777777777778	All
0.2777777777777778	All
0.2777777777777778	All
0.45454545454545453	All
0.3333333333333333	All
0.43478260869565216	All
0.35	All
0.3953488372093023	All
0.2777777777777778	All
0.5185185185185185	All
0.5185185185185185	All
0.2777777777777778	All
0.35	All
0.5882352941176471	All
0.5306122448979592	All
0.2857142857142857	All
0.5306122448979592	All
0.46938775510204084	All
0.35	All
0.5925925925925926	All
0.48936170212765956	All
0.5531914893617021	All
0.7037037037037037	All
0.54	All
0.6037735849056604	All
0.6046511627906976	All
0.2857142857142857	All
0.3157894736842105	All
0.5454545454545454	All
0.3684210526315789	All
0.3684210526315789	All
0.2972972972972973	All
0.2972972972972973	All
0.5423728813559322	All
0.35	All
0.5	All
0.631578947368421	All
0.6288659793814433	All
0.5272727272727272	All
0.4067796610169492	All
0.4318181818181818	All
0.3953488372093023	All
0.3953488372093023	All
0.49019607843137253	All
0.46938775510204084	All
0.5185185185185185	All
0.21212121212121213	All
0.5714285714285714	All
0.827027027027027	All
0.7924528301886793	All
0.6893203883495146	All
0.863013698630137	All
0.7538461538461538	All
0.6262626262626263	All
0.7411764705882353	All
0.7169811320754716	All
0.6987951807228916	All
0.8082191780821918	All
0.6632653061224489	All
0.7672413793103449	All
0.7111111111111111	All
0.6274509803921569	All
0.7073170731707317	All
0.15384615384615385	All
0.7834394904458599	All
0.7165354330708661	All
0.725	All
0.7333333333333333	All
0.782312925170068	All
0.6	All
0.6388888888888888	All
0.65	All
0.7263157894736842	All
0.71900826446281	All
0.6595744680851063	All
0.7757009345794392	All
0.7435897435897436	All
0.7803030303030303	All
0.6666666666666666	All
0.3838383838383838	All
0.8349514563106796	All
0.574468085106383	All
0.7236842105263158	All
0.8135593220338984	All
0.7906976744186046	All
0.7727272727272727	All
0.6041666666666666	All
0.7272727272727273	All
0.6666666666666666	All
0.5961538461538461	All
0.717948717948718	All
0.6666666666666666	All
0.7704918032786885	All
0.6470588235294118	All
0.8260869565217391	All
0.7307692307692307	All
0.7362637362637363	All
0.7557251908396947	All
0.7478260869565218	All
0.7244897959183674	All
0.7403846153846154	All
0.6804123711340206	All
0.7102803738317757	All
0.7446808510638298	All
0.8017241379310345	All
0.7090909090909091	All
0.6774193548387096	All
0.7377049180327869	All
0.7346938775510204	All
0.7468354430379747	All
0.7164179104477612	All
0.7096774193548387	All
0.5135135135135135	All
0.6923076923076923	All
0.7794117647058824	All
0.75	All
0.6951219512195121	All
0.826530612244898	All
0.803030303030303	All
0.7142857142857143	All
0.7894736842105263	All
0.73	All
0.75	All
0.7191011235955056	All
0.8125	All
0.6829268292682927	All
0.7830188679245284	All
0.7571428571428571	All
0.7857142857142857	All
0.7767857142857143	All
0.7272727272727273	All
0.7821782178217822	All
0.7419354838709677	All
0.7	All
0.73	All
0.6835443037974683	All
0.7368421052631579	All
0.7666666666666667	All
0.7819548872180451	All
0.7948717948717948	All
0.6575342465753424	All
0.7663551401869159	All
0.7758620689655172	All
0.8243243243243243	All
0.7368421052631579	All
0.75	All
0.6164383561643836	All
0.7027027027027027	All
0.7638888888888888	All
0.7586206896551724	All
0.723404255319149	All
0.5066666666666667	All
0.8	All
0.7283950617283951	All
0.7051282051282052	All
0.746031746031746	All
0.746268656716418	All
0.7	All
0.759493670886076	All
0.7706422018348624	All
0.7647058823529411	All
0.6481481481481481	All
0.7647058823529411	All
0.74	All
0.735632183908046	All
0.8026315789473685	All
0.7142857142857143	All
0.8392857142857143	All
0.8076923076923077	All
0.7384615384615385	All
0.7777777777777778	All
0.6862745098039216	All
0.7608695652173914	All
0.7575757575757576	All
0.5555555555555556	All
0.7037037037037037	All
0.7444444444444445	All
0.7076923076923077	All
0.7285714285714285	All
0.7804878048780488	All
0.7843137254901961	All
0.6031746031746031	All
0.7391304347826086	All
0.7868852459016393	All
0.78125	All
0.6986301369863014	All
0.5844155844155844	All
0.7582417582417582	All
0.7789473684210526	All
0.7931034482758621	All
0.7755102040816326	All
0.782608695652174	All
0.7549019607843137	All
0.8117647058823529	All
0.7741935483870968	All
0.6491228070175439	All
0.7837837837837838	All
0.72	All
0.625	All
0.7846153846153846	All
0.7910447761194029	All
0.7358490566037735	All
0.7936507936507936	All
0.7333333333333333	All
0.7714285714285715	All
0.6818181818181818	All
0.631578947368421	All
0.7358490566037735	All
0.72	All
0.7204301075268817	All
0.7555555555555555	All
0.7640449438202247	All
0.7727272727272727	All
0.725	All
0.7317073170731707	All
0.7021276595744681	All
0.7227722772277227	All
0.6721311475409836	All
0.6833333333333333	All
0.5666666666666667	All
0.7651515151515151	All
0.6483516483516484	All
0.7424242424242424	All
0.7162162162162162	All
0.6956521739130435	All
0.7162162162162162	All
0.7872340425531915	All
0.66	All
0.6851851851851852	All
0.8135593220338984	All
0.6666666666666666	All
0.7788461538461539	All
0.7413793103448276	All
0.7608695652173914	All
0.7692307692307693	All
0.775	All
0.8043478260869565	All
0.76	All
0.7766990291262136	All
0.7659574468085106	All
0.7702702702702703	All
0.7555555555555555	All
0.7903225806451613	All
0.7625	All
0.7571428571428571	All
0.7560975609756098	All
0.75	All
0.7450980392156863	All
0.7128712871287128	All
0.7755102040816326	All
0.7454545454545455	All
0.7333333333333333	All
0.7473684210526316	All
0.7534246575342466	All
0.8	All
0.6746987951807228	All
0.7096774193548387	All
0.7127659574468085	All
0.7464788732394366	All
0.7419354838709677	All
0.6730769230769231	All
0.782608695652174	All
0.7586206896551724	All
0.7956989247311828	All
0.797752808988764	All
0.6923076923076923	All
0.7105263157894737	All
0.7307692307692307	All
0.7448979591836735	All
0.7454545454545455	All
0.8	All
0.7439024390243902	All
0.7821782178217822	All
0.7702702702702703	All
0.7982456140350878	All
0.7528089887640449	All
0.7755102040816326	All
0.7540983606557377	All
0.7777777777777778	All
0.7857142857142857	All
0.7976190476190477	All
0.7777777777777778	All
0.8	All
0.8181818181818182	All
0.7719298245614035	All
0.7068965517241379	All
0.7571428571428571	All
0.7816901408450704	All
0.717391304347826	All
0.74	All
0.7228915662650602	All
0.7708333333333334	All
